artist,album,release_date,track_name,track_number,duration_ms
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Sunshine,3,291085
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Say It Ain't So,4,233964
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Boy I Want You,5,220078
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Girls Tyme Fun,6,228000
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,632-5792,7,268794
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Boyfriend,8,259924
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Teacher Fried My Brain,9,255233
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,When I Laid My Eyes On You,10,185016
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,In My City,11,247431
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Hip House,12,201049
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Blue Velvet,13,232571
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Take Em 2 Another Level,14,210419
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Talking 'Bout My Baby,15,205357
Destiny's Child,Destiny Fulfilled,2004-11-16,Lose My Breath,1,242013
Destiny's Child,Destiny Fulfilled,2004-11-16,Soldier (feat. T.I. & Lil' Wayne),2,325573
Destiny's Child,Destiny Fulfilled,2004-11-16,Cater 2 U,3,245400
Destiny's Child,Destiny Fulfilled,2004-11-16,T-Shirt,4,280200
Destiny's Child,Destiny Fulfilled,2004-11-16,Is She The Reason,5,286773
Destiny's Child,Destiny Fulfilled,2004-11-16,Girl,6,224146
Destiny's Child,Destiny Fulfilled,2004-11-16,Bad Habit,7,234706
Destiny's Child,Destiny Fulfilled,2004-11-16,If,8,255880
Destiny's Child,Destiny Fulfilled,2004-11-16,Free,9,291706
Destiny's Child,Destiny Fulfilled,2004-11-16,Through With Love,10,215493
Destiny's Child,Destiny Fulfilled,2004-11-16,Love,11,270146
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Home For The Holidays,1,190200
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Rudolph The Red-Nosed Reindeer - Single Version,2,151200
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,8 Days of Christmas,3,209373
Destiny's Child,8 Days of Christmas (Deluxe Version),2001-10-30,Winter Paradise,4,216200
