artist,album,release_date,track_name,track_number,duration_ms,duration_minutes,release_year
Destiny's Child,Survivor,2001-05-01,Emotion,13,236400,3.94,2001.0
Destiny's Child,Survivor,2001-05-01,Brown Eyes,14,276093,4.6,2001.0
Destiny's Child,Survivor,2001-05-01,Dangerously In Love,15,306306,5.11,2001.0
Destiny's Child,Survivor,2001-05-01,The Story Of Beauty,16,210200,3.5,2001.0
Destiny's Child,Survivor,2001-05-01,Gospel Medley,17,204840,3.41,2001.0
Destiny's Child,Survivor,2001-05-01,Outro (DC-3) Thank You,18,242933,4.05,2001.0
Destiny's Child,The Writing's On The Wall,1999-07-27,Intro (The Writing's On The Wall),1,125466,2.09,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,So Good,2,193933,3.23,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,"Bills, Bills, Bills",3,256026,4.27,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,"Confessions (feat. Missy ""Misdemeanor"" Elliott)",4,297333,4.96,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,Bug a Boo,5,212440,3.54,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,Temptation,6,245600,4.09,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,Now That She's Gone,7,335466,5.59,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,Where'd You Go,8,255266,4.25,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,Hey Ladies,9,255933,4.27,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,If You Leave (feat. Next),10,275160,4.59,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,"Jumpin', Jumpin'",11,230200,3.84,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,Say My Name,12,271333,4.52,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,She Can't Love You,13,244866,4.08,1999.0
Destiny's Child,The Writing's On The Wall,1999-07-27,Stay,14,291240,4.85,1999.0
